sku,title,source_url,filename,status
PKM-MEV-ETB-EN,Pokemon TCG: SV Mega Evolution Elite Trainer Box,https://www.tcgplayer.com/product/654170/pokemon-me02-phantasmal-flames-phantasmal-flames-elite-trainer-box-case?page=1,PKM-MEV-ETB-EN.jpg,ok
PKM-MEV-PCETB-EN,Pokemon TCG: SV Mega Evolution Pokemon Center ETB,https://www.tcgplayer.com/product/644282/pokemon-me01-mega-evolution-mega-evolution-pokemon-center-elite-trainer-box-exclusive-mega-lucario?page=1,PKM-MEV-PCETB-EN.jpg,ok
PKM-MEV-BNB-EN,Pokemon TCG: SV Mega Evolution Build and Battle Box,https://www.tcgplayer.com/product/644363/pokemon-me01-mega-evolution-mega-evolution-build-and-battle-box?page=1,PKM-MEV-BNB-EN.jpg,ok
PKM-MEV-BL3-EN,Pokemon TCG: SV Mega Evolution 3-Pack Blister,https://www.tcgplayer.com/product/644356/pokemon-me01-mega-evolution-mega-evolution-3-pack-blister-golduck?page=1,PKM-MEV-BL3-EN.jpg,ok
PKM-MEV-TIN-EN,Pokemon TCG: Team Rocket Tin (Arbok),https://www.tcgplayer.com/product/649193/pokemon-miscellaneous-cards-and-products-team-rocket-tin-team-rockets-mewtwo-ex?page=1,PKM-MEV-TIN-EN.jpg,ok
PKM-MEV-TIN-EN-2,Pokemon TCG: Team Rocket Tin (Weezing),https://www.tcgplayer.com/product/649193/pokemon-miscellaneous-cards-and-products-team-rocket-tin-team-rockets-mewtwo-ex?page=1,PKM-MEV-TIN-EN-2.jpg,ok
PKM-MEV-TIN-EN-3,Pokemon TCG: Team Rocket Tin (Meowth),https://www.tcgplayer.com/product/625695/pokemon-miscellaneous-cards-and-products-team-rockets-mewtwo-ex-box?page=1,PKM-MEV-TIN-EN-3.jpg,ok
PKM-PHF-SBP-EN,Pokemon TCG: SV Phantasmal Flames Sleeved Booster Pack,https://www.tcgplayer.com/product/654145/pokemon-me02-phantasmal-flames-phantasmal-flames-sleeved-booster-pack?page=1,PKM-PHF-SBP-EN.jpg,ok
PKM-PHF-BB-EN,Pokemon TCG: SV Phantasmal Flames Booster Bundle,https://www.tcgplayer.com/product/654160/pokemon-me02-phantasmal-flames-phantasmal-flames-booster-bundle?page=1,PKM-PHF-BB-EN.jpg,ok
PKM-PHF-BX-EN,Pokemon TCG: SV Phantasmal Flames Booster Box,https://www.tcgplayer.com/product/654170/pokemon-me02-phantasmal-flames-phantasmal-flames-elite-trainer-box-case?page=1,PKM-PHF-BX-EN.jpg,ok
PKM-PHF-ETB-EN,Pokemon TCG: SV Phantasmal Flames Elite Trainer Box,https://www.tcgplayer.com/product/654136/pokemon-me02-phantasmal-flames-phantasmal-flames-elite-trainer-box?page=1,PKM-PHF-ETB-EN.jpg,ok
PKM-PHF-PCETB-EN,Pokemon TCG: SV Phantasmal Flames Pokemon Center ETB,https://www.tcgplayer.com/product/654135/pokemon-me02-phantasmal-flames-phantasmal-flames-pokemon-center-elite-trainer-box-exclusive?page=1,PKM-PHF-PCETB-EN.jpg,ok
PKM-PHF-BNB-EN,Pokemon TCG: SV Phantasmal Flames Build and Battle Box,https://www.tcgplayer.com/product/662725/pokemon-me02-phantasmal-flames-phantasmal-flames-build-and-battle-box?page=1,PKM-PHF-BNB-EN.jpg,ok
PKM-PHF-BL3-EN,Pokemon TCG: SV Phantasmal Flames 3-Pack Blister,https://www.tcgplayer.com/product/654154/pokemon-me02-phantasmal-flames-phantasmal-flames-3-pack-blister-sneasel?page=1,PKM-PHF-BL3-EN.jpg,ok
PKM-PHF-EBX-EN,Pokemon TCG: SV Phantasmal Flames Enhanced Booster Box,https://www.tcgplayer.com/product/654170/pokemon-me02-phantasmal-flames-phantasmal-flames-elite-trainer-box-case?page=1,PKM-PHF-EBX-EN.jpg,ok
PKM-PHF-UPC-EN,Pokemon TCG: Mega Charizard X ex Ultra Premium Collection,https://www.tcgplayer.com/product/664895/pokemon-miscellaneous-cards-and-products-mega-charizard-x-ex-ultra-premium-collection-case?page=1,,dl-failed
PKM-PHF-UPC-EN-2,Pokemon TCG: Team Rockets Moltres ex Ultra Premium Collection,https://www.tcgplayer.com/product/664898/pokemon-miscellaneous-cards-and-products-team-rockets-moltres-ex-ultra-premium-collection-case?page=1,,dl-failed
